Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,band_gap
12.285714285714286,63.142857142857146,24.89417142857143,182.9457142857143,11.714285714285714,2.7142857142857144,110.71428571428572,2.5685714285714285,1.7142857142857142,2.857142857142857,0.0,0.0,4.571428571428571,0.2857142857142857,1.4285714285714286,0.0,0.0,1.7142857142857142,29.7743154762,0.3145714285714285,0.0,82.28571428571429,5.2168
26.0,70.8,60.4623323,211.262,12.8,3.4,111.8,2.884,1.8,3.0,2.0,0.0,6.8,0.2,0.6,0.0,0.0,0.8,32.8765,1.182,0.0,93.6,3.7494
13.0,84.16666666666667,26.9071,216.70666666666668,15.333333333333334,2.5,81.83333333333333,2.998333333333333,2.0,3.333333333333333,1.6666666666666667,0.0,7.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,12.694479166666667,0.367,0.0,52.0,3.8233
42.0,74.0,98.26549038,320.814,13.2,4.6,148.6,2.326,1.8,3.4,8.0,0.0,13.2,0.2,1.4,0.0,0.0,1.6,47.498000000000005,0.8742000000000001,0.0,112.4,2.385
19.53846153846154,73.07692307692308,43.40624615384616,321.8184615384615,13.384615384615383,3.0,99.76923076923076,2.723076923076923,2.0,2.923076923076923,2.3076923076923075,0.0,7.230769230769231,0.0,2.1538461538461537,0.0,0.0,2.1538461538461537,19.095,0.0,0.0,74.53846153846153,2.4400000000000004
30.285714285714285,81.0,72.85672857142858,270.4142857142857,14.714285714285714,3.2857142857142856,97.28571428571428,2.86,2.0,3.4285714285714284,2.857142857142857,4.0,12.285714285714286,0.0,2.142857142857143,0.0,0.0,2.142857142857143,17.965357142857147,0.0,0.0,27.214285714285715,0.9268999999999998
20.33333333333333,75.0,46.45010213333333,317.78,13.666666666666666,3.0,94.16666666666669,3.0766666666666667,2.0,3.333333333333333,1.6666666666666667,0.0,7.0,,0.6666666666666666,0.0,0.0,0.6666666666666666,19.39666666666667,1.3133333333333332,0.0,80.5,4.668699999999999
33.5,63.5,80.462475,249.765,11.5,3.75,124.25,2.33,1.75,2.25,2.5,3.5,10.0,0.25,2.25,0.0,0.0,2.5,33.960625,0.0,0.0,111.75,0.8540999999999999
30.0,92.0,67.6714405,278.675,16.5,3.75,116.75,2.7675,2.0,4.5,7.5,0.0,14.0,0.0,1.5,0.0,0.0,1.5,27.7525595238,,0.0,48.5,3.3482000000000003
46.142857142857146,74.42857142857143,109.70093969285712,313.26928571428573,13.285714285714286,4.714285714285714,150.57142857142858,2.3607142857142853,1.7857142857142858,3.642857142857143,7.857142857142857,2.0,15.285714285714286,0.2142857142857142,1.0714285714285714,0.0,0.0,1.2857142857142858,48.46535714285715,,0.0,91.92857142857144,2.5988
7.5,84.75,14.99706965,264.27,11.5,2.0,71.0,2.6725000000000003,1.75,2.25,0.0,0.0,4.0,0.25,2.25,0.0,0.0,,10.32625,1.96325,0.0,110.75,5.2866
39.6,87.0,96.72644,285.242,15.6,3.8,105.6,2.878,2.0,3.6,,5.6,15.2,0.0,2.4,0.0,0.0,2.4,20.753500000000003,0.4986,0.0,65.0,2.0992999999999995
27.11111111111111,72.55555555555556,61.24098931111111,316.02,13.11111111111111,3.7777777777777777,135.55555555555554,2.5055555555555555,1.7777777777777777,3.555555555555556,1.1111111111111112,0.0,6.444444444444445,0.2222222222222222,1.1111111111111112,0.0,0.0,1.3333333333333333,44.61333333333333,1.7045555555555554,0.0,118.55555555555556,2.3199
15.333333333333334,69.55555555555556,33.17855768888889,313.56777777777774,12.666666666666666,2.7777777777777777,98.55555555555556,3.08,1.5555555555555556,3.333333333333333,1.1111111111111112,0.0,6.0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.8888888888888888,24.31870370371111,1.3133333333333337,0.0,85.88888888888889,2.0949
12.666666666666666,67.44444444444444,26.6726688,326.11777777777775,12.0,2.6666666666666665,100.88888888888889,3.0066666666666664,1.7777777777777777,3.333333333333333,0.2222222222222222,0.0,5.333333333333333,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.0,1.7777777777777777,24.57203703704444,1.3133333333333337,2.5037037037e-06,82.44444444444444,4.7348
13.333333333333334,69.44444444444444,27.87560213333333,302.4511111111111,12.666666666666666,2.6666666666666665,96.88888888888889,3.0477777777777777,1.7777777777777777,3.333333333333333,0.8888888888888888,0.0,6.0,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.0,1.1111111111111112,23.864259259266664,1.3133333333333337,,85.88888888888889,2.3729
12.7,61.5,26.717288848,354.493,11.1,2.7,105.3,,1.6,3.0,0.5,0.0,5.1,0.4,0.6,0.5,0.0,1.5,24.48916666667,1.182,0.0,100.6,4.2623
,32.333333333333336,83.29853333333334,372.97333333333336,6.0,4.666666666666667,186.66666666666663,1.3966666666666665,1.3333333333333333,1.3333333333333333,3.333333333333333,0.0,6.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,69.12166666666667,0.2663333333333333,0.0,157.33333333333334,1.8177
23.5,81.0,50.894,345.635,14.5,3.5,113.5,2.1950000000000003,2.0,2.5,5.0,0.0,9.5,0.0,3.5,0.0,0.0,3.5,22.3221875,1.101,0.0,67.0,2.0109000000000004
21.0,73.0,48.9751699,338.375,13.5,3.0,94.5,3.26,2.0,3.75,0.25,0.0,6.0,0.0,0.75,2.25,0.0,3.0,16.505,1.4775,0.0,59.75,6.0222
