Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,formation_energy_per_atom
57.5,83.0,140.247,250.06,14.5,5.0,126.0,2.48,2.0,2.5,10.0,7.0,21.5,0.0,0.5,0.0,0.0,0.5,27.35879310345,0.7285,0.0,115.0,-0.42509156000000003
26.8,69.0,63.5126123,368.418,12.2,3.4,112.8,2.871,1.8,3.1,1.3,1.4,7.6,0.2,1.1,0.7,0.0,2.0,32.9695,1.182,0.0,97.1,-2.8836435183002074
27.666666666666668,74.16666666666667,62.97947816666667,393.3766666666666,13.333333333333334,3.6666666666666665,124.5,2.6666666666666665,1.6666666666666667,3.3333333333333335,1.6666666666666667,2.3333333333333335,9.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,31.29944444445,1.662,0.0,118.33333333333333,-1.30889785684
18.88888888888889,69.66666666666667,43.030113244444436,337.2733333333333,12.666666666666666,2.888888888888889,98.22222222222223,3.0888888888888886,1.6666666666666667,3.3333333333333335,1.0,1.5555555555555556,7.555555555555555,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.0,1.1111111111111112,24.38648148148889,1.3133333333333335,0.0,85.88888888888889,-2.4549452847933333
22.22222222222222,67.88888888888889,51.49066880000001,383.5466666666667,12.0,3.111111111111111,106.33333333333333,2.98,1.7777777777777777,3.3333333333333335,0.2222222222222222,1.5555555555555556,6.888888888888889,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.0,1.7777777777777777,29.098888888888887,1.3133333333333335,0.0,82.44444444444444,-3.773455835793333
13.857142857142858,87.28571428571429,30.284345599999998,393.0,15.571428571428571,2.4285714285714284,69.85714285714286,3.6828571428571424,2.0,4.285714285714286,0.7142857142857143,0.0,7.0,0.0,0.8571428571428571,0.7142857142857143,0.0,1.5714285714285714,10.361428571428572,1.6885714285714286,0.0,40.57142857142857,-2.3265197395914283
22.375,86.0,52.1857399,349.04,15.375,2.875,77.0,3.5199999999999996,1.875,3.75,2.25,1.75,9.625,0.125,0.75,0.25,0.0,1.125,12.1403232758625,1.4775,0.0,60.125,-1.8137255546424997
16.75,88.375,37.097527400000004,330.74125000000004,16.0,2.625,75.75,3.49875,1.875,4.125,2.5,0.0,8.5,0.125,1.125,0.0,0.0,1.25,12.09375,1.4775,0.0,60.125,-2.227921597559167
22.333333333333332,86.33333333333333,51.25293333333334,337.79333333333335,15.666666666666666,3.0,90.33333333333333,2.9766666666666666,2.0,3.6666666666666665,3.3333333333333335,0.0,9.0,0.0,2.3333333333333335,0.0,0.0,2.3333333333333335,16.59,0.0,0.0,63.333333333333336,-1.84768907875
10.857142857142858,69.57142857142857,22.536766,400.17,12.571428571428571,2.4285714285714284,90.14285714285714,2.6799999999999997,1.8571428571428572,2.7142857142857144,0.8571428571428571,0.0,5.428571428571429,0.14285714285714285,1.5714285714285714,0.5714285714285714,0.0,2.2857142857142856,12.330510204071429,0.23214285714285715,0.30152325714285716,72.57142857142857,-2.5571951564625857
41.6,72.0,97.00569038,338.642,12.8,4.6,149.6,2.272,1.8,3.0,8.0,0.0,12.8,0.2,0.6,0.0,0.0,0.8,44.739999999999995,0.8742000000000001,0.0,123.0,-1.278363900586207
